question,level
Explain working principle of Induction motor and concept of rotating magnetic field.,Knowledge
List down the types of mesh used in screen printing process and explain in brief their advantages and disadvantages.,Knowledge
Explain the concept of Graph coloring.,Comprehension
Explain the ferrocement technology with its applications.,Knowledge
What is risk identification?,Knowledge
How are magnetic materials classified based on relative permeability?,Knowledge
Explain LED interfacing with 8051 microcontroller.,Knowledge
"Solve the one dimensional heat equation 2 2y uktx subject to conditions. i) u is finite .t ii) u (0, t) = 0, iii) u(, t) = 0, iv) u( x, 0) = x – x2  0.x",Application
Explain Magneto ignition system in details with diagram.,Knowledge
How do you inspect quality of material like sand and aggregate on your site?,Application
The voltage V(s) in a network given by :,Application
Define indegree and outdegree of a vertex in graph.,Knowledge
Explain fiber reinforced composites and particle reinforced composites.,Knowledge
Analyse the continuous beam as shown in figure 8 by stiffness method.,Analysis
List various types of OS with their basic functions.,Knowledge
Explain swing door with the help of a sketch.,Application
Give the steps involved in the preparation of Crystal violet.,Knowledge
Explain the different probes used for CRO.,Application
Explain how the wind pattern affects power generation in wind energy systems.,Knowledge
What is Plate linearization curve and its requirement in prepress?,Knowledge
Explain importance of project Management and how to manage project risk.,Knowledge
Explain Low pass filter using op-amp with its frequency response.,Knowledge
What is Retained austenite?,Knowledge
What are the advantages of digital instruments over analog instruments.,Comprehension
What is the use of segment in animation?,Knowledge
Explain with neat sketch battery ignition system.,Knowledge
What is a container?,Knowledge
 Explain the below methods in detail.,Analysis
Explain combination die with schematic sketch.,Knowledge
Explain the function of bit TF0 in TCON register and write a program in C language to start timer 0.,Application
Write short note on 12C bus.,Knowledge
A homogeneous 700kg bar AB is supported at either end by a cable as shown in figure below.,Application
"Write C Program to toggle bit P1.5 of port P1, 5000 times.",Application
A die is tossed 300 times gave the following result.,Application
"Find out the safe sequence for the execution of the following processes using Banker’s algorithm. Maximum Resources R1=15, R2=8.",Application
Figure 5 shows a horizontal shaft ABCD fixed to a rigid base at D and subjected to torques.,Application
A concentrated load of 25 kN acts on the surface of homogeneous soil mass of large extend.,Application
"With the neat diagram, explain principle of working of thermal bimetal. Give its examples and applications.",Knowledge
Estimate boards of 90Dkg in RA1 size for 10000 books in A5 size.,Application
Write down the advantages and disadvantages of gaseous fuel.,Knowledge
Find the trignometric Fourier series for the periodic signal x(t) given below.,Application
Draw circuit of Op-Amp as V-I converter. Also explain its working.,Knowledge
Following table gives the distance in nautical miles of the visible horizon for the given heights in feet above earth.,Application
Why not to start dc series motor on no load?,Analysis
Explain Powder Bed Fusion process in short.,Knowledge
Define String in Java.,Knowledge
Explain working of IC 555 as monostable multivibrator.,Comprehension
A horizontal girder of steel having uniform section is 14 meters long and is simply supported at its ends.,Application
Convert the following infix expressions to prefix  expressions using stack data structure.,Application
"Show that the transformation w = z + 1 z–2i maps the circle | z| = 2 into an ellipse. Find centre, semi-major and semi-minor axes of ellipse",Application
Explain resource smoothing and leveling.,Knowledge
"Find the directional derivative of xy yz xzφ=++  at (1, 1, 1) along line 111 212x yz −−−== .",Application
Draw and explain the method of plotting TTT diagram and what information is obtained from this diagram?,Application
Obtain Z-parameters of two-port network for the given network in the Fig. 8.,Application
What is machine instruction?,Knowledge
What is Extrusion?,Knowledge
Define concrete mix design and state objectives in mix design?,Knowledge
Discuss “Taylor’s Stability Number” for stability analysis of finite slope.,Knowledge
What is interpolation?,Knowledge
What are inline functions?,Knowledge
Derive the expression for torque developed in a three phase induction motor under running conditions.,Analysis
"Evaluate  CFdr⋅ for 2 ˆ ˆˆ F 2 xi xyj z k =+ +  along the curve C  x = t, y = t2, z = t3 from t = 0 to t = 1.",Application
Find the first four moments about the arithetic mean for the following distribution.,Application
Explain Geometrical Hardening and Geometrical Softening phenomenon.,Comprehension
Define exception.,Knowledge
Write in brief advantages and disadvantages of wind energy.,Comprehension
What are the steps in handling page fault?,Knowledge
Differentiate between compound die and progressive die.,Analysis
Design a spring for a balance to measure 0 to 1000 N over a scale of length 80 mm.,Application
In certain city 4000 tube lights are installed.,Application
The width of belts is 15 cm and maximum tension per cm width is not to be exceeded 140 N.,Application
Draw the detailed block diagram of SMPS and explain its operation.,Comprehension
Distinguish between gathering and in setting process.,Analysis
Differentiate between active and passive filter.,Analysis
Two examiners A and B award marks to seven students as follows: Roll No. : R1R2R3R4R5R6R7 Marks (A) : 40 44 28 30 44 36 30 Marks (B) : 32 39 26 30 28 34 28 Find the coefficient of correlation.,Application
State the uses of the final keyword in Java?,Knowledge
How many different ways are there to choose a dozen donuts varieties from 21 varieties at a donut shop?,Application
Show that the maximum number of edges in a simple graph with n vertices is n.,Analysis
What is earthquake?,Knowledge
